seed_type,seed_name,difficulty,base_yield,growth_days,ideal_temp,ideal_humidity,avg_temp,avg_humidity,temp_deviation,humidity_deviation,watering_consistency,temp_stress_days,humidity_stress_days,missed_watering_days,max_temp,min_temp,max_humidity,min_humidity,latest_height,latest_density,avg_height,avg_density,final_yield,yield_efficiency,daily_logs_json
wheat,Wheat,Medium,100.0,7,22.0,50.0,22.29,49.29,0.71,5.29,1.0,0,0,0,23.2,21.1,57.6,39.1,6.37,0.899,4.21,0.57,98.9,0.989,"[{""day"": 1, ""temperature"": 21.9, ""humidity"": 39.1, ""watered"": true, ""canopy_height"": 1.77, ""canopy_density"": 0.198, ""phase"": ""blackout""}, {""day"": 2, ""temperature"": 22.2, ""humidity"": 55.7, ""watered"": true, ""canopy_height"": 2.61, ""canopy_density"": 0.36, ""phase"": ""blackout""}, {""day"": 3, ""temperature"": 21.5, ""humidity"": 47.5, ""watered"": true, ""canopy_height"": 3.19, ""canopy_density"": 0.517, ""phase"": ""blackout""}, {""day"": 4, ""temperature"": 23.2, ""humidity"": 52.7, ""watered"": true, ""canopy_height"": 4.2, ""canopy_density"": 0.581, ""phase"": ""blackout""}, {""day"": 5, ""temperature"": 23.1, ""humidity"": 43.4, ""watered"": true, ""canopy_height"": 5.53, ""canopy_density"": 0.603, ""phase"": ""blackout""}, {""day"": 6, ""temperature"": 21.1, ""humidity"": 57.6, ""watered"": true, ""canopy_height"": 5.77, ""canopy_density"": 0.832, ""phase"": ""blackout""}, {""day"": 7, ""temperature"": 23.0, ""humidity"": 49.0, ""watered"": true, ""canopy_height"": 6.37, ""canopy_density"": 0.899, ""phase"": ""blackout""}]"
onion,Onion,Medium,100.0,14,22.0,50.0,21.76,52.67,1.14,4.13,0.93,1,1,1,26.4,19.9,65.5,42.7,7.19,0.902,3.85,0.521,57.2,0.572,"[{""day"": 1, ""temperature"": 21.2, ""humidity"": 62.0, ""watered"": true, ""canopy_height"": 0.57, ""canopy_density"": 0.198, ""phase"": ""blackout""}, {""day"": 2, ""temperature"": 20.5, ""humidity"": 57.1, ""watered"": true, ""canopy_height"": 1.0, ""canopy_density"": 0.225, ""phase"": ""blackout""}, {""day"": 3, ""temperature"": 21.8, ""humidity"": 51.8, ""watered"": true, ""canopy_height"": 0.54, ""canopy_density"": 0.255, ""phase"": ""blackout""}, {""day"": 4, ""temperature"": 21.5, ""humidity"": 42.7, ""watered"": true, ""canopy_height"": 1.85, ""canopy_density"": 0.355, ""phase"": ""light""}, {""day"": 5, ""temperature"": 20.0, ""humidity"": 51.5, ""watered"": true, ""canopy_height"": 2.36, ""canopy_density"": 0.44, ""phase"": ""light""}, {""day"": 6, ""temperature"": 22.2, ""humidity"": 52.1, ""watered"": true, ""canopy_height"": 3.05, ""canopy_density"": 0.465, ""phase"": ""light""}, {""day"": 7, ""temperature"": 26.4, ""humidity"": 65.5, ""watered"": false, ""canopy_height"": 2.12, ""canopy_density"": 0.323, ""phase"": ""light""}, {""day"": 8, ""temperature"": 22.1, ""humidity"": 48.4, ""watered"": true, ""canopy_height"": 4.91, ""canopy_density"": 0.6, ""phase"": ""light""}, {""day"": 9, ""temperature"": 22.6, ""humidity"": 49.5, ""watered"": true, ""canopy_height"": 5.33, ""canopy_density"": 0.611, ""phase"": ""light""}, {""day"": 10, ""temperature"": 22.2, ""humidity"": 53.7, ""watered"": true, ""canopy_height"": 5.74, ""canopy_density"": 0.688, ""phase"": ""light""}, {""day"": 11, ""temperature"": 22.8, ""humidity"": 50.7, ""watered"": true, ""canopy_height"": 5.75, ""canopy_density"": 0.666, ""phase"": ""light""}, {""day"": 12, ""temperature"": 21.0, ""humidity"": 49.4, ""watered"": true, ""canopy_height"": 6.68, ""canopy_density"": 0.773, ""phase"": ""light""}, {""day"": 13, ""temperature"": 19.9, ""humidity"": 49.8, ""watered"": true, ""canopy_height"": 6.85, ""canopy_density"": 0.798, ""phase"": ""light""}, {""day"": 14, ""temperature"": 20.5, ""humidity"": 53.2, ""watered"": true, ""canopy_height"": 7.19, ""canopy_density"": 0.902, ""phase"": ""light""}]"
sunflower,Sunflower,Medium,300.0,6,22.0,50.0,22.62,48.7,1.02,1.83,1.0,0,0,0,23.6,20.8,51.6,45.6,6.23,1.0,4.18,0.58,315.0,1.05,"[{""day"": 1, ""temperature"": 23.3, ""humidity"": 48.8, ""watered"": true, ""canopy_height"": 1.94, ""canopy_density"": 0.184, ""phase"": ""blackout""}, {""day"": 2, ""temperature"": 20.8, ""humidity"": 48.6, ""watered"": true, ""canopy_height"": 2.62, ""canopy_density"": 0.371, ""phase"": ""blackout""}, {""day"": 3, ""temperature"": 22.4, ""humidity"": 45.6, ""watered"": true, ""canopy_height"": 3.84, ""canopy_density"": 0.484, ""phase"": ""blackout""}, {""day"": 4, ""temperature"": 22.4, ""humidity"": 48.6, ""watered"": true, ""canopy_height"": 4.63, ""canopy_density"": 0.62, ""phase"": ""blackout""}, {""day"": 5, ""temperature"": 23.6, ""humidity"": 49.0, ""watered"": true, ""canopy_height"": 5.84, ""canopy_density"": 0.824, ""phase"": ""blackout""}, {""day"": 6, ""temperature"": 23.2, ""humidity"": 51.6, ""watered"": true, ""canopy_height"": 6.23, ""canopy_density"": 1.0, ""phase"": ""light""}]"
groundnut,Groundnut,Medium,150.0,7,22.0,50.0,21.29,49.73,0.74,3.73,1.0,0,0,0,22.1,20.4,57.4,42.7,6.13,0.865,3.99,0.587,142.8,0.952,"[{""day"": 1, ""temperature"": 21.8, ""humidity"": 43.9, ""watered"": true, ""canopy_height"": 1.51, ""canopy_density"": 0.217, ""phase"": ""blackout""}, {""day"": 2, ""temperature"": 20.6, ""humidity"": 42.7, ""watered"": true, ""canopy_height"": 2.6, ""canopy_density"": 0.385, ""phase"": ""blackout""}, {""day"": 3, ""temperature"": 20.4, ""humidity"": 49.4, ""watered"": true, ""canopy_height"": 3.28, ""canopy_density"": 0.49, ""phase"": ""blackout""}, {""day"": 4, ""temperature"": 20.9, ""humidity"": 53.0, ""watered"": true, ""canopy_height"": 3.62, ""canopy_density"": 0.577, ""phase"": ""blackout""}, {""day"": 5, ""temperature"": 22.1, ""humidity"": 57.4, ""watered"": true, ""canopy_height"": 4.8, ""canopy_density"": 0.757, ""phase"": ""blackout""}, {""day"": 6, ""temperature"": 21.7, ""humidity"": 51.3, ""watered"": true, ""canopy_height"": 5.96, ""canopy_density"": 0.82, ""phase"": ""light""}, {""day"": 7, ""temperature"": 21.5, ""humidity"": 50.4, ""watered"": true, ""canopy_height"": 6.13, ""canopy_density"": 0.865, ""phase"": ""light""}]"
cauliflower,Cauliflower,Medium,150.0,7,22.0,50.0,22.0,48.4,1.43,5.11,1.0,1,0,0,24.9,18.7,62.3,38.6,5.79,0.862,3.73,0.532,138.4,0.923,"[{""day"": 1, ""temperature"": 23.2, ""humidity"": 48.0, ""watered"": true, ""canopy_height"": 1.41, ""canopy_density"": 0.14, ""phase"": ""blackout""}, {""day"": 2, ""temperature"": 24.9, ""humidity"": 48.9, ""watered"": true, ""canopy_height"": 2.08, ""canopy_density"": 0.285, ""phase"": ""light""}, {""day"": 3, ""temperature"": 22.9, ""humidity"": 62.3, ""watered"": true, ""canopy_height"": 2.83, ""canopy_density"": 0.487, ""phase"": ""light""}, {""day"": 4, ""temperature"": 18.7, ""humidity"": 49.0, ""watered"": true, ""canopy_height"": 4.16, ""canopy_density"": 0.525, ""phase"": ""light""}, {""day"": 5, ""temperature"": 21.3, ""humidity"": 45.7, ""watered"": true, ""canopy_height"": 4.33, ""canopy_density"": 0.654, ""phase"": ""light""}, {""day"": 6, ""temperature"": 22.0, ""humidity"": 38.6, ""watered"": true, ""canopy_height"": 5.53, ""canopy_density"": 0.771, ""phase"": ""light""}, {""day"": 7, ""temperature"": 21.0, ""humidity"": 46.3, ""watered"": true, ""canopy_height"": 5.79, ""canopy_density"": 0.862, ""phase"": ""light""}]"
purple-basil,Purple Basil,Medium,50.0,12,22.0,50.0,22.09,52.22,0.82,4.23,1.0,0,0,0,24.6,20.6,58.8,45.6,7.23,0.926,4.06,0.557,44.1,0.882,"[{""day"": 1, ""temperature"": 22.2, ""humidity"": 58.8, ""watered"": true, ""canopy_height"": 0.4, ""canopy_density"": 0.145, ""phase"": ""blackout""}, {""day"": 2, ""temperature"": 22.4, ""humidity"": 48.5, ""watered"": true, ""canopy_height"": 1.14, ""canopy_density"": 0.215, ""phase"": ""blackout""}, {""day"": 3, ""temperature"": 22.4, ""humidity"": 45.6, ""watered"": true, ""canopy_height"": 1.4, ""canopy_density"": 0.315, ""phase"": ""blackout""}, {""day"": 4, ""temperature"": 23.5, ""humidity"": 52.1, ""watered"": true, ""canopy_height"": 1.83, ""canopy_density"": 0.314, ""phase"": ""blackout""}, {""day"": 5, ""temperature"": 21.4, ""humidity"": 57.8, ""watered"": true, ""canopy_height"": 2.98, ""canopy_density"": 0.432, ""phase"": ""blackout""}, {""day"": 6, ""temperature"": 22.3, ""humidity"": 55.3, ""watered"": true, ""canopy_height"": 3.88, ""canopy_density"": 0.504, ""phase"": ""light""}, {""day"": 7, ""temperature"": 24.6, ""humidity"": 46.1, ""watered"": true, ""canopy_height"": 4.76, ""canopy_density"": 0.566, ""phase"": ""light""}, {""day"": 8, ""temperature"": 21.3, ""humidity"": 51.8, ""watered"": true, ""canopy_height"": 5.24, ""canopy_density"": 0.737, ""phase"": ""light""}, {""day"": 9, ""temperature"": 21.2, ""humidity"": 47.7, ""watered"": true, ""canopy_height"": 6.13, ""canopy_density"": 0.71, ""phase"": ""light""}, {""day"": 10, ""temperature"": 21.1, ""humidity"": 51.5, ""watered"": true, ""canopy_height"": 6.66, ""canopy_density"": 0.844, ""phase"": ""light""}, {""day"": 11, ""temperature"": 22.1, ""humidity"": 55.5, ""watered"": true, ""canopy_height"": 7.09, ""canopy_density"": 0.972, ""phase"": ""light""}, {""day"": 12, ""temperature"": 20.6, ""humidity"": 55.9, ""watered"": true, ""canopy_height"": 7.23, ""canopy_density"": 0.926, ""phase"": ""light""}]"
black-cumin,Black Cumin,Medium,30.0,24,22.0,50.0,22.03,50.85,0.82,4.81,1.0,0,0,0,23.7,19.1,57.9,41.3,6.61,0.81,3.98,0.539,19.8,0.66,"[{""day"": 1, ""temperature"": 22.3, ""humidity"": 57.4, ""watered"": true, ""canopy_height"": 0.23, ""canopy_density"": 0.157, ""phase"": ""blackout""}, {""day"": 2, ""temperature"": 21.0, ""humidity"": 57.8, ""watered"": true, ""canopy_height"": 0.1, ""canopy_density"": 0.093, ""phase"": ""blackout""}, {""day"": 3, ""temperature"": 21.9, ""humidity"": 57.9, ""watered"": true, ""canopy_height"": 0.37, ""canopy_density"": 0.185, ""phase"": ""blackout""}, {""day"": 4, ""temperature"": 22.7, ""humidity"": 53.2, ""watered"": true, ""canopy_height"": 0.14, ""canopy_density"": 0.285, ""phase"": ""light""}, {""day"": 5, ""temperature"": 21.7, ""humidity"": 53.3, ""watered"": true, ""canopy_height"": 0.11, ""canopy_density"": 0.261, ""phase"": ""light""}, {""day"": 6, ""temperature"": 22.3, ""humidity"": 47.7, ""watered"": true, ""canopy_height"": 0.58, ""canopy_density"": 0.361, ""phase"": ""light""}, {""day"": 7, ""temperature"": 21.3, ""humidity"": 55.5, ""watered"": true, ""canopy_height"": 0.24, ""canopy_density"": 0.385, ""phase"": ""light""}, {""day"": 8, ""temperature"": 23.7, ""humidity"": 41.3, ""watered"": true, ""canopy_height"": 0.8, ""canopy_density"": 0.34, ""phase"": ""light""}, {""day"": 9, ""temperature"": 23.1, ""humidity"": 43.7, ""watered"": true, ""canopy_height"": 1.5, ""canopy_density"": 0.377, ""phase"": ""light""}, {""day"": 10, ""temperature"": 19.1, ""humidity"": 52.1, ""watered"": true, ""canopy_height"": 2.29, ""canopy_density"": 0.449, ""phase"": ""light""}, {""day"": 11, ""temperature"": 21.7, ""humidity"": 53.1, ""watered"": true, ""canopy_height"": 2.81, ""canopy_density"": 0.445, ""phase"": ""light""}, {""day"": 12, ""temperature"": 23.3, ""humidity"": 45.6, ""watered"": true, ""canopy_height"": 4.08, ""canopy_density"": 0.498, ""phase"": ""light""}, {""day"": 13, ""temperature"": 23.5, ""humidity"": 48.1, ""watered"": true, ""canopy_height"": 4.58, ""canopy_density"": 0.532, ""phase"": ""light""}, {""day"": 14, ""temperature"": 22.7, ""humidity"": 56.0, ""watered"": true, ""canopy_height"": 5.69, ""canopy_density"": 0.575, ""phase"": ""light""}, {""day"": 15, ""temperature"": 20.2, ""humidity"": 52.1, ""watered"": true, ""canopy_height"": 6.19, ""canopy_density"": 0.613, ""phase"": ""light""}, {""day"": 16, ""temperature"": 21.6, ""humidity"": 55.2, ""watered"": true, ""canopy_height"": 6.68, ""canopy_density"": 0.757, ""phase"": ""light""}, {""day"": 17, ""temperature"": 21.7, ""humidity"": 44.9, ""watered"": true, ""canopy_height"": 7.18, ""canopy_density"": 0.71, ""phase"": ""light""}, {""day"": 18, ""temperature"": 22.5, ""humidity"": 51.3, ""watered"": true, ""canopy_height"": 7.34, ""canopy_density"": 0.786, ""phase"": ""light""}, {""day"": 19, ""temperature"": 21.4, ""humidity"": 45.2, ""watered"": true, ""canopy_height"": 7.12, ""canopy_density"": 0.722, ""phase"": ""light""}, {""day"": 20, ""temperature"": 22.5, ""humidity"": 44.9, ""watered"": true, ""canopy_height"": 7.22, ""canopy_density"": 0.879, ""phase"": ""light""}, {""day"": 21, ""temperature"": 22.1, ""humidity"": 48.9, ""watered"": true, ""canopy_height"": 7.6, ""canopy_density"": 0.803, ""phase"": ""light""}, {""day"": 22, ""temperature"": 23.0, ""humidity"": 57.4, ""watered"": true, ""canopy_height"": 8.15, ""canopy_density"": 0.969, ""phase"": ""light""}, {""day"": 23, ""temperature"": 22.5, ""humidity"": 42.2, ""watered"": true, ""canopy_height"": 7.81, ""canopy_density"": 0.954, ""phase"": ""light""}, {""day"": 24, ""temperature"": 20.9, ""humidity"": 55.7, ""watered"": true, ""canopy_height"": 6.61, ""canopy_density"": 0.81, ""phase"": ""light""}]"
sunflower,Sunflower,Medium,300.0,6,22.0,50.0,20.57,45.0,1.6,6.33,1.0,1,1,0,22.5,15.0,54.0,25.0,6.2,0.935,4.12,0.585,284.6,0.949,"[{""day"": 1, ""temperature"": 21.7, ""humidity"": 54.0, ""watered"": true, ""canopy_height"": 1.98, ""canopy_density"": 0.244, ""phase"": ""blackout""}, {""day"": 2, ""temperature"": 15.0, ""humidity"": 25.0, ""watered"": true, ""canopy_height"": 2.45, ""canopy_density"": 0.273, ""phase"": ""blackout""}, {""day"": 3, ""temperature"": 20.5, ""humidity"": 46.3, ""watered"": true, ""canopy_height"": 3.74, ""canopy_density"": 0.501, ""phase"": ""blackout""}, {""day"": 4, ""temperature"": 22.5, ""humidity"": 49.6, ""watered"": true, ""canopy_height"": 4.7, ""canopy_density"": 0.679, ""phase"": ""blackout""}, {""day"": 5, ""temperature"": 22.0, ""humidity"": 47.9, ""watered"": true, ""canopy_height"": 5.65, ""canopy_density"": 0.877, ""phase"": ""blackout""}, {""day"": 6, ""temperature"": 21.7, ""humidity"": 47.2, ""watered"": true, ""canopy_height"": 6.2, ""canopy_density"": 0.935, ""phase"": ""light""}]"
cauliflower,Cauliflower,Medium,150.0,7,22.0,50.0,22.03,50.99,0.8,3.73,1.0,0,0,0,23.9,19.8,58.9,43.8,6.57,1.0,4.2,0.592,151.3,1.009,"[{""day"": 1, ""temperature"": 22.1, ""humidity"": 52.9, ""watered"": true, ""canopy_height"": 1.42, ""canopy_density"": 0.255, ""phase"": ""blackout""}, {""day"": 2, ""temperature"": 19.8, ""humidity"": 50.6, ""watered"": true, ""canopy_height"": 2.66, ""canopy_density"": 0.27, ""phase"": ""light""}, {""day"": 3, ""temperature"": 21.9, ""humidity"": 46.6, ""watered"": true, ""canopy_height"": 3.38, ""canopy_density"": 0.441, ""phase"": ""light""}, {""day"": 4, ""temperature"": 23.9, ""humidity"": 53.8, ""watered"": true, ""canopy_height"": 4.39, ""canopy_density"": 0.642, ""phase"": ""light""}, {""day"": 5, ""temperature"": 22.8, ""humidity"": 43.8, ""watered"": true, ""canopy_height"": 5.04, ""canopy_density"": 0.661, ""phase"": ""light""}, {""day"": 6, ""temperature"": 22.1, ""humidity"": 50.3, ""watered"": true, ""canopy_height"": 5.92, ""canopy_density"": 0.876, ""phase"": ""light""}, {""day"": 7, ""temperature"": 21.6, ""humidity"": 58.9, ""watered"": true, ""canopy_height"": 6.57, ""canopy_density"": 1.0, ""phase"": ""light""}]"
cauliflower,Cauliflower,Medium,150.0,7,22.0,50.0,20.86,49.96,1.23,2.87,1.0,0,0,0,22.3,19.1,56.1,45.7,6.37,0.982,4.14,0.593,154.1,1.027,"[{""day"": 1, ""temperature"": 19.8, ""humidity"": 48.7, ""watered"": true, ""canopy_height"": 1.18, ""canopy_density"": 0.254, ""phase"": ""blackout""}, {""day"": 2, ""temperature"": 19.1, ""humidity"": 47.6, ""watered"": true, ""canopy_height"": 2.51, ""canopy_density"": 0.383, ""phase"": ""light""}, {""day"": 3, ""temperature"": 21.2, ""humidity"": 47.8, ""watered"": true, ""canopy_height"": 3.7, ""canopy_density"": 0.508, ""phase"": ""light""}, {""day"": 4, ""temperature"": 20.7, ""humidity"": 45.7, ""watered"": true, ""canopy_height"": 3.84, ""canopy_density"": 0.546, ""phase"": ""light""}, {""day"": 5, ""temperature"": 21.4, ""humidity"": 53.1, ""watered"": true, ""canopy_height"": 5.25, ""canopy_density"": 0.711, ""phase"": ""light""}, {""day"": 6, ""temperature"": 21.5, ""humidity"": 50.7, ""watered"": true, ""canopy_height"": 6.11, ""canopy_density"": 0.766, ""phase"": ""light""}, {""day"": 7, ""temperature"": 22.3, ""humidity"": 56.1, ""watered"": true, ""canopy_height"": 6.37, ""canopy_density"": 0.982, ""phase"": ""light""}]"
fenugreek,Fenugreek,Medium,300.0,10,22.0,50.0,22.64,51.05,1.12,4.75,1.0,0,0,0,24.3,20.3,58.5,41.2,7.01,0.91,4.23,0.58,311.9,1.04,"[{""day"": 1, ""temperature"": 23.7, ""humidity"": 48.8, ""watered"": true, ""canopy_height"": 1.13, ""canopy_density"": 0.213, ""phase"": ""blackout""}, {""day"": 2, ""temperature"": 22.9, ""humidity"": 53.8, ""watered"": true, ""canopy_height"": 1.62, ""canopy_density"": 0.23, ""phase"": ""blackout""}, {""day"": 3, ""temperature"": 20.3, ""humidity"": 45.3, ""watered"": true, ""canopy_height"": 1.77, ""canopy_density"": 0.388, ""phase"": ""light""}, {""day"": 4, ""temperature"": 23.4, ""humidity"": 48.4, ""watered"": true, ""canopy_height"": 2.74, ""canopy_density"": 0.457, ""phase"": ""light""}, {""day"": 5, ""temperature"": 22.1, ""humidity"": 55.9, ""watered"": true, ""canopy_height"": 4.02, ""canopy_density"": 0.556, ""phase"": ""light""}, {""day"": 6, ""temperature"": 22.7, ""humidity"": 47.8, ""watered"": true, ""canopy_height"": 4.84, ""canopy_density"": 0.611, ""phase"": ""light""}, {""day"": 7, ""temperature"": 21.3, ""humidity"": 58.5, ""watered"": true, ""canopy_height"": 5.75, ""canopy_density"": 0.779, ""phase"": ""light""}, {""day"": 8, ""temperature"": 22.1, ""humidity"": 53.9, ""watered"": true, ""canopy_height"": 6.69, ""canopy_density"": 0.741, ""phase"": ""light""}, {""day"": 9, ""temperature"": 23.6, ""humidity"": 56.9, ""watered"": true, ""canopy_height"": 6.75, ""canopy_density"": 0.917, ""phase"": ""light""}, {""day"": 10, ""temperature"": 24.3, ""humidity"": 41.2, ""watered"": true, ""canopy_height"": 7.01, ""canopy_density"": 0.91, ""phase"": ""light""}]"
groundnut,Groundnut,Medium,150.0,7,22.0,50.0,22.66,53.97,1.26,5.26,0.86,1,0,1,27.4,21.2,58.1,45.5,4.48,0.681,3.65,0.499,113.5,0.757,"[{""day"": 1, ""temperature"": 23.3, ""humidity"": 56.6, ""watered"": true, ""canopy_height"": 1.5, ""canopy_density"": 0.264, ""phase"": ""blackout""}, {""day"": 2, ""temperature"": 21.6, ""humidity"": 57.9, ""watered"": true, ""canopy_height"": 2.56, ""canopy_density"": 0.383, ""phase"": ""blackout""}, {""day"": 3, ""temperature"": 21.2, ""humidity"": 51.2, ""watered"": true, ""canopy_height"": 3.67, ""canopy_density"": 0.551, ""phase"": ""blackout""}, {""day"": 4, ""temperature"": 21.7, ""humidity"": 52.7, ""watered"": false, ""canopy_height"": 2.4, ""canopy_density"": 0.201, ""phase"": ""blackout""}, {""day"": 5, ""temperature"": 22.0, ""humidity"": 55.8, ""watered"": true, ""canopy_height"": 5.49, ""canopy_density"": 0.593, ""phase"": ""blackout""}, {""day"": 6, ""temperature"": 21.4, ""humidity"": 45.5, ""watered"": true, ""canopy_height"": 5.46, ""canopy_density"": 0.822, ""phase"": ""light""}, {""day"": 7, ""temperature"": 27.4, ""humidity"": 58.1, ""watered"": true, ""canopy_height"": 4.48, ""canopy_density"": 0.681, ""phase"": ""light""}]"
purple-basil,Purple Basil,Medium,50.0,12,22.0,50.0,22.77,48.07,1.23,8.92,0.92,1,1,1,25.1,20.8,64.7,32.2,5.93,0.818,3.39,0.466,15.3,0.306,"[{""day"": 1, ""temperature"": 22.3, ""humidity"": 38.3, ""watered"": true, ""canopy_height"": 0.32, ""canopy_density"": 0.133, ""phase"": ""blackout""}, {""day"": 2, ""temperature"": 25.0, ""humidity"": 39.8, ""watered"": false, ""canopy_height"": 1.07, ""canopy_density"": 0.134, ""phase"": ""blackout""}, {""day"": 3, ""temperature"": 20.8, ""humidity"": 54.8, ""watered"": true, ""canopy_height"": 0.9, ""canopy_density"": 0.273, ""phase"": ""blackout""}, {""day"": 4, ""temperature"": 23.8, ""humidity"": 59.7, ""watered"": true, ""canopy_height"": 1.47, ""canopy_density"": 0.4, ""phase"": ""blackout""}, {""day"": 5, ""temperature"": 22.7, ""humidity"": 32.2, ""watered"": true, ""canopy_height"": 2.42, ""canopy_density"": 0.36, ""phase"": ""blackout""}, {""day"": 6, ""temperature"": 20.9, ""humidity"": 56.5, ""watered"": true, ""canopy_height"": 3.22, ""canopy_density"": 0.466, ""phase"": ""light""}, {""day"": 7, ""temperature"": 24.3, ""humidity"": 37.5, ""watered"": true, ""canopy_height"": 3.95, ""canopy_density"": 0.475, ""phase"": ""light""}, {""day"": 8, ""temperature"": 21.5, ""humidity"": 47.8, ""watered"": true, ""canopy_height"": 4.9, ""canopy_density"": 0.592, ""phase"": ""light""}, {""day"": 9, ""temperature"": 22.6, ""humidity"": 39.3, ""watered"": true, ""canopy_height"": 5.21, ""canopy_density"": 0.54, ""phase"": ""light""}, {""day"": 10, ""temperature"": 25.1, ""humidity"": 53.0, ""watered"": true, ""canopy_height"": 5.84, ""canopy_density"": 0.628, ""phase"": ""light""}, {""day"": 11, ""temperature"": 22.1, ""humidity"": 64.7, ""watered"": true, ""canopy_height"": 5.5, ""canopy_density"": 0.779, ""phase"": ""light""}, {""day"": 12, ""temperature"": 22.1, ""humidity"": 53.2, ""watered"": true, ""canopy_height"": 5.93, ""canopy_density"": 0.818, ""phase"": ""light""}]"
toor-dal,Toor Dal,Medium,150.0,12,22.0,50.0,22.6,48.65,1.25,3.3,1.0,1,0,0,27.6,20.7,53.6,43.0,7.04,0.887,4.0,0.544,137.2,0.915,"[{""day"": 1, ""temperature"": 21.2, ""humidity"": 53.6, ""watered"": true, ""canopy_height"": 0.6, ""canopy_density"": 0.172, ""phase"": ""blackout""}, {""day"": 2, ""temperature"": 22.1, ""humidity"": 47.2, ""watered"": true, ""canopy_height"": 0.49, ""canopy_density"": 0.187, ""phase"": ""blackout""}, {""day"": 3, ""temperature"": 22.8, ""humidity"": 47.2, ""watered"": true, ""canopy_height"": 1.11, ""canopy_density"": 0.362, ""phase"": ""blackout""}, {""day"": 4, ""temperature"": 27.6, ""humidity"": 51.6, ""watered"": true, ""canopy_height"": 1.69, ""canopy_density"": 0.298, ""phase"": ""blackout""}, {""day"": 5, ""temperature"": 23.0, ""humidity"": 44.7, ""watered"": true, ""canopy_height"": 3.0, ""canopy_density"": 0.454, ""phase"": ""blackout""}, {""day"": 6, ""temperature"": 22.4, ""humidity"": 53.2, ""watered"": true, ""canopy_height"": 3.86, ""canopy_density"": 0.476, ""phase"": ""light""}, {""day"": 7, ""temperature"": 21.3, ""humidity"": 52.5, ""watered"": true, ""canopy_height"": 4.61, ""canopy_density"": 0.654, ""phase"": ""light""}, {""day"": 8, ""temperature"": 23.2, ""humidity"": 46.0, ""watered"": true, ""canopy_height"": 5.56, ""canopy_density"": 0.583, ""phase"": ""light""}, {""day"": 9, ""temperature"": 20.7, ""humidity"": 44.7, ""watered"": true, ""canopy_height"": 6.36, ""canopy_density"": 0.645, ""phase"": ""light""}, {""day"": 10, ""temperature"": 24.0, ""humidity"": 43.0, ""watered"": true, ""canopy_height"": 6.88, ""canopy_density"": 0.879, ""phase"": ""light""}, {""day"": 11, ""temperature"": 21.4, ""humidity"": 49.3, ""watered"": true, ""canopy_height"": 6.75, ""canopy_density"": 0.932, ""phase"": ""light""}, {""day"": 12, ""temperature"": 21.5, ""humidity"": 50.8, ""watered"": true, ""canopy_height"": 7.04, ""canopy_density"": 0.887, ""phase"": ""light""}]"
dew-gram,Dew Gram,Medium,250.0,5,22.0,50.0,20.98,45.56,1.18,7.84,1.0,0,0,0,22.4,19.4,56.2,37.0,5.18,0.986,3.88,0.542,236.4,0.946,"[{""day"": 1, ""temperature"": 20.3, ""humidity"": 37.0, ""watered"": true, ""canopy_height"": 2.19, ""canopy_density"": 0.166, ""phase"": ""blackout""}, {""day"": 2, ""temperature"": 19.4, ""humidity"": 40.1, ""watered"": true, ""canopy_height"": 3.29, ""canopy_density"": 0.299, ""phase"": ""blackout""}, {""day"": 3, ""temperature"": 22.4, ""humidity"": 56.2, ""watered"": true, ""canopy_height"": 3.83, ""canopy_density"": 0.605, ""phase"": ""blackout""}, {""day"": 4, ""temperature"": 21.2, ""humidity"": 42.2, ""watered"": true, ""canopy_height"": 4.91, ""canopy_density"": 0.652, ""phase"": ""blackout""}, {""day"": 5, ""temperature"": 21.6, ""humidity"": 52.3, ""watered"": true, ""canopy_height"": 5.18, ""canopy_density"": 0.986, ""phase"": ""light""}]"
peas,Peas,Medium,250.0,7,22.0,50.0,22.36,51.1,0.87,3.84,1.0,0,0,0,23.7,20.7,56.1,46.3,6.33,0.98,4.25,0.599,244.7,0.979,"[{""day"": 1, ""temperature"": 22.8, ""humidity"": 56.1, ""watered"": true, ""canopy_height"": 1.54, ""canopy_density"": 0.26, ""phase"": ""blackout""}, {""day"": 2, ""temperature"": 20.7, ""humidity"": 47.3, ""watered"": true, ""canopy_height"": 2.59, ""canopy_density"": 0.28, ""phase"": ""blackout""}, {""day"": 3, ""temperature"": 23.4, ""humidity"": 46.8, ""watered"": true, ""canopy_height"": 3.19, ""canopy_density"": 0.451, ""phase"": ""blackout""}, {""day"": 4, ""temperature"": 21.5, ""humidity"": 55.4, ""watered"": true, ""canopy_height"": 4.56, ""canopy_density"": 0.62, ""phase"": ""blackout""}, {""day"": 5, ""temperature"": 23.7, ""humidity"": 46.3, ""watered"": true, ""canopy_height"": 5.62, ""canopy_density"": 0.706, ""phase"": ""blackout""}, {""day"": 6, ""temperature"": 22.0, ""humidity"": 54.1, ""watered"": true, ""canopy_height"": 5.91, ""canopy_density"": 0.894, ""phase"": ""blackout""}, {""day"": 7, ""temperature"": 22.4, ""humidity"": 51.7, ""watered"": true, ""canopy_height"": 6.33, ""canopy_density"": 0.98, ""phase"": ""blackout""}]"
